model,seed,MAE,RMSE,RMSLE,WAPE,R2,CSI
HA,42,2.5883407592773438,4.618919372558594,0.34839650988578796,19.21161651611328,0.9502340863563499,0.7445652173913043
HA,1,2.5883407592773438,4.618919372558594,0.34839650988578796,19.21161651611328,0.9502340863563499,0.7445652173913043
HA,2,2.5883407592773438,4.618919372558594,0.34839650988578796,19.21161651611328,0.9502340863563499,0.7445652173913043
LSTM,42,2.6794862747192383,4.905884742736816,0.34515711665153503,19.888134002685547,0.9438582543082699,0.7253521126760564
LSTM,1,2.6849992275238037,4.920151233673096,0.3453291952610016,19.929052352905273,0.9435312572561309,0.7193064667291471
LSTM,2,2.6857500076293945,4.9197258949279785,0.3452625870704651,19.93462371826172,0.9435410172407529,0.7259887005649718
STGCN,42,2.7223334312438965,5.0174126625061035,0.3455979526042938,20.206161499023438,0.9412766444574868,0.7197724039829303
STGCN,1,2.731959819793701,5.0515875816345215,0.34595853090286255,20.277612686157227,0.9404739514650988,0.7124585504500237
STGCN,2,2.66316556930542,4.858539581298828,0.34546583890914917,19.76699447631836,0.9449366349340256,0.7316845543630425
GraphWaveNet,42,2.582312822341919,4.670064926147461,0.3433052599430084,19.1668758392334,0.9491258585104934,0.7530120481927711
GraphWaveNet,1,2.5580084323883057,4.612326622009277,0.3422066271305084,18.986480712890625,0.9503760531842435,0.7543538038496792
GraphWaveNet,2,2.5730502605438232,4.646411418914795,0.34314557909965515,19.098127365112305,0.9496399069076348,0.7561314206385933
DCRNN,42,2.700132131576538,4.948318004608154,0.3455154299736023,20.04137420654297,0.94288286443633,0.7265882352941176
DCRNN,1,2.688438892364502,4.924756050109863,0.34500306844711304,19.95458221435547,0.9434255053057418,0.723463687150838
DCRNN,2,2.655470371246338,4.826690673828125,0.34459784626960754,19.709877014160156,0.9456561764638945,0.7284122562674095
MTGNN,42,2.643411636352539,4.812886714935303,0.3444715440273285,19.62037467956543,0.945966576282754,0.7306064880112835
MTGNN,1,2.658069372177124,4.848501205444336,0.3448173403739929,19.729169845581055,0.9451639358845864,0.7257761053621825
MTGNN,2,2.6367764472961426,4.787719249725342,0.3453124761581421,19.571125030517578,0.9465301947326622,0.7281235376696303
InformerOnly,42,2.777820587158203,5.226644515991211,0.34672361612319946,20.61800765991211,0.9362768650526749,0.731638418079096
InformerOnly,1,2.6387975215911865,4.774311542510986,0.345120906829834,19.58612632751465,0.9468292529835562,0.7511499540018399
InformerOnly,2,2.6858012676239014,4.9143452644348145,0.34601086378097534,19.93500518798828,0.9436644408492105,0.7440257352941176
HASI-Net,42,2.695594310760498,4.919474124908447,0.34655123949050903,20.007694244384766,0.9435467988482715,0.7275655775425679
HASI-Net,1,2.6804020404815674,4.849528789520264,0.3475055694580078,19.894929885864258,0.945140689239151,0.7315282239559431
HASI-Net,2,2.723252058029175,4.9342851638793945,0.34948238730430603,20.212980270385742,0.9432063564593495,0.7306976744186047
